iter	Passed	Remaining
476	693	760
477	694	758
478	695	756
479	697	755
480	698	753
481	699	751
482	700	750
483	702	748
484	704	747
485	705	746
486	706	744
487	708	742
488	709	741
489	710	739
490	711	738
491	713	736
492	714	734
493	715	733
494	716	731
495	718	729
496	719	728
497	720	726
498	722	725
499	723	723
500	724	721
501	725	720
502	726	718
503	728	716
504	729	714
505	730	713
506	731	711
507	733	710
508	734	708
509	735	707
510	737	705
511	738	703
512	739	702
513	740	700
514	741	698
515	743	696
516	744	695
517	745	693
518	746	692
519	748	690
520	749	688
521	750	687
522	752	685
523	753	684
524	754	682
525	755	680
526	756	679
527	758	677
528	759	676
529	760	674
530	762	673
531	763	672
532	765	670
533	766	668
534	767	667
535	768	665
536	770	664
537	771	662
538	772	660
539	773	659
540	774	657
541	776	655
542	777	654
543	779	653
544	780	651
545	781	649
546	782	648
547	784	646
548	785	645
549	786	643
550	788	642
551	789	641
552	791	639
553	792	637
554	794	636
555	795	635
556	796	633
557	797	631
558	798	630
559	800	628
560	801	627
561	802	625
562	803	623
563	805	622
564	806	620
565	807	619
566	809	618
567	810	616
568	812	615
569	813	613
570	815	612
571	816	610
572	817	609
573	819	607
574	820	606
575	822	605
576	824	604
577	826	603
578	827	601
579	829	600
580	830	598
581	831	597
582	832	595
583	834	594
584	835	592
585	836	591
586	838	589
587	839	588
588	840	586
589	841	585
590	843	583
591	844	581
592	845	580
593	846	578
594	847	577
595	848	575
596	850	573
597	851	572
598	852	571
599	854	569
600	855	567
601	859	568
602	862	567
603	863	566
604	864	564
605	866	563
606	867	561
607	868	560
608	870	558
609	871	557
610	872	555
611	874	554
612	876	553
613	877	551
614	879	550
615	880	549
616	881	547
617	883	545
618	884	544
619	885	542
620	886	541
621	887	539
622	889	538
623	890	536
624	892	535
625	893	533
626	895	532
627	896	530
628	897	529
629	899	528
630	900	526
631	901	525
632	903	523
633	904	522
634	906	520
635	907	519
636	908	517
637	909	516
638	911	514
639	912	513
640	913	511
641	914	509
642	915	508
643	916	506
644	918	505
645	919	503
646	920	502
647	921	500
648	923	499
649	924	497
650	925	496
651	926	494
652	927	493
653	929	491
654	930	490
655	931	488
656	932	487
657	934	485
658	935	484
659	937	482
660	938	481
661	939	479
662	941	478
663	942	476
664	943	475
665	945	474
666	946	472
667	947	470
668	949	470
669	951	468
670	952	466
671	953	465
672	955	464
673	956	462
674	958	461
675	959	459
676	960	458
677	962	457
678	964	455
679	966	454
680	967	453
681	968	451
682	970	450
683	971	448
684	973	447
685	974	445
686	975	444
687	976	443
688	978	441
689	979	440
690	981	438
691	982	437
692	984	436
693	985	434
694	987	433
695	988	431
696	990	430
697	991	429
698	992	427
699	994	426
700	995	424
701	996	423
702	997	421
703	999	420
704	1000	418
705	1001	417
706	1002	415
707	1004	414
708	1005	412
709	1007	411
710	1009	410
711	1011	409
712	1013	407
713	1014	406
714	1016	405
715	1017	403
716	1019	402
717	1020	400
718	1022	399
719	1024	398
720	1025	396
721	1027	395
722	1028	394
723	1030	392
724	1031	391
725	1032	389
726	1034	388
727	1035	386
728	1037	385
729	1038	384
730	1040	382
731	1041	381
732	1042	379
733	1043	378
734	1045	376
735	1046	375
736	1047	373
737	1049	372
738	1050	370
739	1051	369
740	1053	368
741	1054	366
742	1056	365
743	1057	363
744	1059	362
745	1060	361
746	1061	359
747	1063	358
748	1064	356
749	1066	355
750	1067	353
751	1068	352
752	1070	351
753	1071	349
754	1073	348
755	1074	346
756	1075	345
757	1076	343
758	1078	342
759	1079	340
760	1080	339
761	1081	337
762	1082	336
763	1084	334
764	1085	333
765	1086	331
766	1087	330
767	1088	328
768	1090	327
769	1091	326
770	1092	324
771	1094	323
772	1095	321
773	1096	320
774	1097	318
775	1099	317
776	1100	315
777	1102	314
778	1103	312
779	1104	311
780	1105	310
781	1106	308
782	1108	307
783	1109	305
784	1110	304
785	1111	302
786	1113	301
787	1114	299
788	1116	298
789	1117	297
790	1118	295
791	1120	294
792	1121	292
793	1122	291
794	1124	289
795	1125	288
796	1126	286
797	1127	285
798	1129	284
799	1131	282
800	1132	281
801	1133	279
802	1135	278
803	1136	277
804	1137	275
805	1138	274
806	1139	272
807	1140	271
808	1142	269
809	1143	268
810	1144	266
811	1146	265
812	1147	263
813	1148	262
814	1149	260
815	1150	259
816	1152	258
817	1153	256
818	1154	255
819	1155	253
820	1157	252
821	1158	250
822	1160	249
823	1161	248
824	1162	246
825	1164	245
826	1165	243
827	1166	242
828	1167	240
829	1169	239
830	1170	238
831	1171	236
832	1173	235
833	1174	233
834	1176	232
835	1177	231
836	1179	229
837	1180	228
838	1181	226
839	1183	225
840	1184	223
841	1185	222
842	1187	221
843	1189	219
844	1190	218
845	1191	216
846	1193	215
847	1194	214
848	1196	212
849	1197	211
850	1198	209
851	1199	208
852	1201	207
853	1202	205
854	1204	204
855	1205	202
856	1207	201
857	1208	200
858	1209	198
859	1210	197
860	1212	195
861	1213	194
862	1215	192
863	1216	191
864	1217	190
865	1218	188
866	1220	187
867	1221	185
868	1222	184
869	1223	182
870	1225	181
871	1226	180
872	1227	178
873	1229	177
874	1230	175
875	1231	174
876	1233	172
877	1234	171
878	1235	170
879	1237	168
880	1238	167
881	1239	165
882	1240	164
883	1242	162
884	1243	161
885	1244	160
886	1246	158
887	1247	157
888	1250	156
889	1251	154
890	1253	153
891	1255	151
892	1256	150
893	1258	149
894	1259	147
895	1260	146
896	1262	145
897	1264	143
898	1265	142
899	1267	140
900	1268	139
901	1269	137
902	1271	136
903	1272	135
904	1274	133
905	1275	132
906	1277	130
907	1278	129
908	1279	128
909	1281	126
910	1282	125
911	1283	123
912	1284	122
913	1286	121
914	1287	119
915	1288	118
916	1289	116
917	1291	115
918	1292	113
919	1293	112
920	1295	111
921	1296	109
922	1297	108
923	1298	106
924	1300	105
925	1301	104
926	1303	102
927	1304	101
928	1305	99
929	1307	98
930	1308	97
931	1310	95
932	1311	94
933	1313	92
934	1314	91
935	1316	89
936	1317	88
937	1318	87
938	1320	85
939	1321	84
940	1323	82
941	1324	81
942	1325	80
943	1327	78
944	1328	77
945	1330	75
946	1331	74
947	1333	73
948	1334	71
949	1336	70
950	1337	68
951	1339	67
952	1340	66
953	1341	64
954	1343	63
955	1344	61
956	1346	60
957	1347	59
958	1348	57
959	1349	56
960	1351	54
961	1353	53
962	1354	52
963	1355	50
964	1356	49
965	1358	47
966	1359	46
967	1360	44
968	1361	43
969	1362	42
970	1364	40
971	1365	39
972	1366	37
973	1368	36
974	1369	35
975	1370	33
976	1372	32
977	1373	30
978	1374	29
979	1376	28
980	1377	26
981	1378	25
982	1379	23
983	1381	22
984	1382	21
985	1384	19
986	1385	18
987	1386	16
988	1388	15
989	1389	14
990	1390	12
991	1391	11
992	1392	9
993	1393	8
994	1395	7
995	1397	5
996	1398	4
997	1400	2
998	1401	1
999	1403	0
